name,source,gender,wikidata,type
Johann-Hinrich-Engelbart-Weg,,,,way
Johann-Justus-Weg,,,,way
Johannes-Brahms-Straße,,,,way
Johannisgang,,,,way
Johannisstraße,,,,way
Joseph-Bernhard-Winck-Straße,,,,way
Juiststraße,,,,way
Julius-Leber-Straße,,,,way
Julius-Mosen-Platz,,,,way
Junkerburg,,,,way
Junkerstraße,,,,way
Justin-Hüppe-Ring,,,,way
Justus-von-Liebig-Straße,,,,way
Kaiserstraße,,,,way
Kalmusweg,,,,way
Kampstraße,,,,way
Kanalstraße,,,,way
Kandinskystraße,,,,way
Kanonierstraße,,,,way
Kantstraße,,,,way
Kardinal-von-Galen-Straße,,,,way
Karl-Arnold-Straße,,,,way
Karl-Jaspers-Straße,,,,way
Karlsbadstrasse,,,,way
Karlstraße,,,,way
"Kärntner Straße",,,,way
Karpfenweg,,,,way
Karuschenweg,,,,way
Kasernenstraße,,,,way
Kasinoplatz,,,,way
Kaspersweg,,,,way
Kastanienallee,,,,way
Katharinenstraße,,,,way
Käthe-Kollwitz-Straße,,,,way
Kattenbarg,,,,way
"Kattowitzer Straße",,,,way
Kauzweg,,,,way
Kavallerieweg,,,,way
Kennedystraße,,,,way
Keplerstraße,,,,way
Kernbeißerring,,,,way
Kerschensteinerstraße,,,,way
Kiebitzweg,,,,way
Kiefernweg,,,,way
Kiehnpool,,,,way
Kielweg,,,,way
Kiesgrubenstraße,,,,way
Kirchhofstraße,,,,way
Kirchhofsweg,,,,way
Kirchweg,,,,way
Kirschblütenanger,,,,way
Klarmannsweg,,,,way
Klaus-Groth-Straße,,,,way
"Klausenburger Straße",,,,way
Klävemannstraße,,,,way
Kleenskamp,,,,way
Kleestraße,,,,way
Kleiberstraße,,,,way
"Klein-Bornhorster Straße",,,,way
"Kleine Hamheide",,,,way
"Kleine Kirchenstraße",,,,way
"Kleine Straße",,,,way
"Kleiner Kuhlenweg",,,,way
Kleiststraße,,,,way
Klingenbergstraße,,,,way
Klosterholzweg,,,,way
Klostermark,,,,way
Klosterstraße,,,,way
Klusweg,,,,way
Kneippstraße,,,,way
Knick,,,,way
Knie,,,,way
"Kniphauser Straße",,,,way
"Kolberger Weg",,,,way
Kolpingstraße,,,,way
"Königsberger Straße",,,,way
Königskerzenweg,,,,way
Konradstraße,,,,way
Koopmannweg,,,,way
"Kopenhagener Straße",,,,way
Kopernikusstraße,,,,way
Koppelstraße,,,,way
Koppelweide,,,,way
Kornblumenweg,,,,way
Kornstraße,,,,way
Kortjanweg,,,,way
Kortlangstraße,,,,way
"Kösliner Weg",,,,way
Köstersweg,,,,way
Köterhof,,,,way
Kranbergstraße,,,,way
Kranichstraße,,,,way
Kreuzdornweg,,,,way
Kreuzstraße,,,,way
Kreyenstraße,,,,way
Kriegerstraße,,,,way
Krögerskamp,,,,way
Krokusweg,,,,way
Kronsbeerenweg,,,,way
"Kronstädter Straße",,,,way
Krugweg,,,,way
"Krumme Straße",,,,way
"Krummlands Kamp",,,,way
Krusenweg,,,,way
Kuckucksweg,,,,way
Kuhlenkamp,,,,way
Kuhweg,,,,way
Kummerkamp,,,,way
Küpkersweg,,,,way
Kurlandallee,,,,way
Kurt-Huber-Straße,,,,way
Kurt-Schumacher-Straße,,,,way
Kurwickstraße,,,,way
"Kurze Straße",,,,way
"Küstriner Straße",,,,way
Lachsweg,,,,way
Lafontainestraße,,,,way
Lagerstraße,,,,way
Lambertihof,,,,way
Lambertistraße,,,,way
Lammweg,,,,way
Landweg,,,,way
Landwehrstraße,,,,way
"Lange Straße",,,,way
Langenweg,,,,way
Lappan,,,,relation+way
Lärchenring,,,,way
Largauweg,,,,way
Lasiusstraße,,,,way
"Lauenburger Ring",,,,way
Le-Corbusier-Straße,,,,way
Leffersweg,,,,way
Lehmkuhlenstraße,,,,way
Lehmplacken,,,,way
Leibnizstraße,,,,way
Leinweg,,,,way
"Leipziger Straße",,,,way
Lenzweg,,,,way
Leo-Trepp-Straße,,,,way
"Leobschützer Straße",,,,way
Leon-Bukofzer-Straße,,,,way
Lerchenspornweg,,,,way
Lerchenstraße,,,,way
Lerchenweg,,,,way
Lerigauweg,,,,way
Lessingstraße,,,,way
Lesumstraße,,,,way
"Leuchtenburger Straße",,,,way
Leuschnerstraße,,,,way
Libellenweg,,,,way
Liegewiese,,,,way
"Liegnitzer Straße",,,,way
Lilienthalstraße,,,,way
Lilienweg,,,,way
Lindenallee,,,,way
Lindenbogen,,,,way
Lindenhofsgarten,,,,way
Lindenstraße,,,,way
"Linsweger Straße",,,,way
Lise-Meitner-Straße,,,,way
Lisztstraße,,,,way
Logemannhof,,,,way
Logemannskamp,,,,way
"Londoner Straße",,,,way
Lönsweg,,,,way
Loogenweg,,,,way
"Lothringer Straße",,,,way
Louise-Schroeder-Straße,,,,way
Löwenzahnweg,,,,way
"Loyerender Weg",,,,way
Lübbenbuschweg,,,,way
Lübskamp,,,,way
Luchsweg,,,,way
Ludwig-Klingenberg-Weg,,,,way
Ludwig-Quidde-Weg,,,,way
Ludwig-Strack-Straße,,,,way
Ludwigstraße,,,,way
Lüntjenweg,,,,way
Lupinenstraße,,,,way
Lustgarten,,,,way
Lüttichstraße,,,,way
"Luxemburger Straße",,,,way
Luzernenstraße,,,,way
"Maastrichter Straße",,,,way
Magnolienring,,,,way
Maienweg,,,,way
Malvenweg,,,,way
"Mansholter Straße",,,,way
"Marburger Straße",,,,way
Marderweg,,,,way
Margarete-Gramberg-Straße,,,,way
Margaretenstraße,,,,way
Maria-von-Jever-Straße,,,,way
Marie-Juchacz-Ring,,,,way
Marienstraße,,,,way
Markt,,,,way
"Marktplatz Eversten",,,,way
Mars-la-Tour-Straße,,,,way
Marschweg,,,,way
Martin-Buber-Straße,,,,way
Martin-Luther-Straße,,,,way
Martin-Niemöller-Straße,,,,way
Masurenstraße,,,,way
Matthias-Claudius-Straße,,,,way
Matthias-Erzberger-Straße,,,,way
Max-Beckmann-Straße,,,,way
Max-Mehner-Straße,,,,way
Max-Pechstein-Straße,,,,way
Maximilian-Kolbe-Straße,,,,way
Meerkamp,,,,way
Meerweg,,,,way
Meeschweg,,,,way
Mehlbeerenweg,,,,way
Meinardusstraße,,,,way
Meisenweg,,,,way
Melchiorweg,,,,way
Melkbrink,,,,way
Mellumstraße,,,,way
"Memeler Straße",,,,way
Mensa-Vorplatz,,,,way
Merzdorfstraße,,,,way
Messestraße,,,,way
"Metjendorfer Landstraße",,,,way
"Metzer Straße",,,,way
Migemkenweg,,,,way
Milanweg,,,,way
Milchstraße,,,,way
Mistelweg,,,,way
Mittagsweg,,,,way
Mittelgang,,,,way
Mittelkamp,,,,way
Mittelweg,,,,way
Mohnweg,,,,way
Mohrstraße,,,,way
Molierestraße,,,,way
Moltkestraße,,,,way
Moorweg,,,,way
Moosweg,,,,way
Morgenweg,,,,way
Moslestraße,,,,way
Mottenstraße,,,,way
Möwenweg,,,,way
Mozartstraße,,,,way
Müggenweg,,,,way
Mühlenhofsweg,,,,way
Mühlenstraße,,,,way
Mühlgraben,,,,way
Müller-vom-Siel-Straße,,,,way
Müllersweg,,,,way
Mümmelmannsweg,,,,way
Münnichstraße,,,,way
"Münsterberger Straße",,,,way
Münstermannstraße,,,,way
Muttenpottsweg,,,,way
Mutzenbecherstraße,,,,way
Myliusstraße,,,,way
Nachtigallenweg,,,,way
"Nadorster Straße",,,,way
Nedderend,,,,way
Nedderlandsweg,,,,way
Neenkamp,,,,way
"Neisser Straße",,,,way
Nelkenstraße,,,,way
Nelkenweg,,,,way
Nelson-Mandela-Ring,,,,way
Nerzweg,,,,way
Nettelbeckstraße,,,,way
"Neue Donnerschweer Straße",,,,way
"Neue Straße",,,,way
"Neuenkruger Straße",,,,way
"Neuer Weg",,,,way
"Neusüdender Weg",,,,way
Newtonstraße,,,,way
Nibelungenstraße,,,,way
Niederkamp,,,,way
Niedersachsendamm,,,,way
"Niendorfer Weg",,,,way
Nikolaigang,,,,way
Nikolaikirchweg,,,,way
Nikolaiweg,,,,way
Nikolausstraße,,,,way
Nimrodweg,,,,way
Nobelstraße,,,,way
Nollstraße,,,,way
"Nordenhamer Weg",,,,way
Norderdiek,,,,way
"Norderneyer Straße",,,,way
Norderstraße,,,,way
"Nordmoslesfehner Straße",,,,way
Nordring,,,,way
Nordseestraße,,,,way
Nordstraße,,,,way
Nordtangente,,,,way
Nymphenweg,,,,way
Oederstraße,,,,way
"Ofener Straße",,,,way
"Ofenerdieker Straße",,,,way
Ohlenbuschweg,,,,way
"Ohmsteder Esch",,,,way
"Oldenburger Straße",,,,way
Oldenrome,,,,way
Oldeweg,,,,way
Olmsweg,,,,way
"Oppelner Straße",,,,way
Orfenweg,,,,way
"Osloer Straße",,,,way
Osterdiek,,,,way
Osteresch,,,,way
Osterkampsweg,,,,way
Osterstraße,,,,way
Ostlandstraße,,,,way
Ostring,,,,way
"Östringer Straße",,,,way
Ostseestraße,,,,way
Ostweg,,,,way
Otterweg,,,,way
Otto-Suhr-Straße,,,,way
Otto-Wels-Straße,,,,way
Ottostraße,,,,way
Överkamp,,,,way
Pappelallee,,,,way
Paradewall,,,,way
"Pariser Straße",,,,way
Parkstraße,,,,way
Pasteurstraße,,,,way
Paul-Klee-Straße,,,,way
Paul-Krey-Straße,,,,way
Paul-Löbe-Straße,,,,way
Paul-Tantzen-Straße,,,,way
Paula-Modersohn-Becker-Straße,,,,way
Paulstraße,,,,way
Peerdebrok,,,,way
"Pellwormer Weg",,,,way
Pestalozzistraße,,,,way
Pestrupsweg,,,,way
Peterstraße,,,,way
Pfänderweg,,,,way
Pfauenstraße,,,,way
Pferdemarkt,,,,way
Philipp-Reis-Gang,,,,way
Philipp-Scheidemann-Straße,,,,way
Philipp-de-Haas-Straße,,,,way
Philosophenweg,,,,way
"Pillauer Weg",,,,way
Pionierweg,,,,way
Pirolweg,,,,way
Pirschweg,,,,way
Pistolenstraße,,,,way
Plaggenhau,,,,way
Planckstraße,,,,way
"Poeler Ring",,,,way
Pophankenweg,,,,way
Porsenbergstraße,,,,way
Postenweg,,,,way
Posthalterweg,,,,way
Poststraße,,,,way
Presuhnstraße,,,,way
Prießnitzstraße,,,,way
Prinzessinweg,,,,way
Proppingstraße,,,,way
Quellenweg,,,,way
Quendelstraße,,,,way
Querweg,,,,way
Rabenweg,,,,way
Radbodstraße,,,,way
Rahel-Straus-Straße,,,,way
Rahel-Varnhagen-Weg,,,,way
Raiffeisenstraße,,,,way
Rallenstraße,,,,way
Ramakersweg,,,,way
Ramsauerstraße,,,,way
Randweg,,,,way
Rankenstraße,,,,way
Rapsweg,,,,way
"Rasteder Straße",,,,way
Rastweg,,,,way
Rathausmarkt,,,,way
Ratsherr-Schulze-Straße,,,,way
Rauhehorst,,,,way
Rebenstraße,,,,way
Rebhuhnweg,,,,way
Reekenweg,,,,way
Rehweg,,,,way
Reichenspergerstraße,,,,way
Reichweinstraße,,,,way
Reiherweg,,,,way
Reinhardweg,,,,way
Reiterstraße,,,,way
Rembrandtstraße,,,,way
Rennplatzstraße,,,,way
Rheinstraße,,,,way
Richard-Wagner-Platz,,,,way
"Rigaer Weg",,,,way
Ringelblumenweg,,,,way
Rispenweg,,,,way
Ritterstraße,,,,way
Robert-Blum-Straße,,,,way
Robert-Bunsen-Straße,,,,way
Robert-Koch-Straße,,,,way
Robert-von-Mayer-Straße,,,,way
"Rodenkirchener Weg",,,,way
Roggenweg,,,,way
Rohdenweg,,,,way
Rohrdommelweg,,,,way
Rollandstraße,,,,way
Röntgenstraße,,,,way
Roonstraße,,,,way
Rosenbohmsweg,,,,way
Rosenstraße,,,,way
Rosenweg,,,,way
Rosmarinweg,,,,way
Rossittenweg,,,,way
"Rostocker Straße",,,,way
Rotbuchenweg,,,,way
Rotdornstraße,,,,way
Rotdornweg,,,,way
Rotfederweg,,,,way
Rotkehlchenweg,,,,way
Rotschenkelweg,,,,way
Rousseaustraße,,,,way
Röwekamp,,,,way
Rowoldstraße,,,,way
Rubensstraße,,,,way
Rübezahlstraße,,,,way
Rudolf-Bultmann-Straße,,,,way
Rudolf-Diesel-Straße,,,,way
"Rügener Ring",,,,way
"Rügenwalder Straße",,,,way
Rummelweg,,,,way
"Rund Achtern",,,,way
Rüschenweg,,,,way
Ruselerstraße,,,,way
"Rüstringer Straße",,,,way
Saarstraße,,,,way
Sachsenstraße,,,,way
Sackhofsweg,,,,way
Sagersweg,,,,way
Salbeistraße,,,,way
Sandberg,,,,way
Sanddornweg,,,,way
"Sandfurter Weg",,,,way
Sandkamp,,,,way
"Sandkruger Straße",,,,way
Sandkuhlenweg,,,,way
Sandstraße,,,,way
Sandweg,,,,way
Sartoriusgang,,,,way
Schäferstraße,,,,way
Schafgarbenweg,,,,way
Schafjückenweg,,,,way
Schagenweg,,,,way
Schäpersweg,,,,way
Scharnhorststraße,,,,way
Schaumkrautweg,,,,way
Scheibenweg,,,,way
Scheideweg,,,,way
Schellenberg,,,,way
"Schellsteder Weg",,,,way
Schiebenkamp,,,,way
Schifferstraße,,,,way
Schillerstraße,,,,way
Schimmelweg,,,,way
Schinkelstraße,,,,way
Schlachthofstraße,,,,way
Schlagbaumweg,,,,way
Schlehenweg,,,,way
Schleistraße,,,,way
Schleusenstraße,,,,way
Schlieffenstraße,,,,way
Schlossgarten,,,,way
Schloßplatz,,,,relation+way
Schloßwall,,,,way
Schlüsselblumenweg,,,,way
Schlüterstraße,,,,way
"Schmaler Weg",,,,way
Schmälkamp,,,,way
Schmidt-Rottluff-Straße,,,,way
Schmiedeweg,,,,way
Schnepfenweg,,,,way
Schöllkrautweg,,,,way
Schörenpad,,,,way
Schramperweg,,,,way
Schreberweg,,,,way
Schubertstraße,,,,way
Schulenburgstraße,,,,way
Schulstraße,,,,way
Schulweg,,,,way
Schulzeweg,,,,way
Schumacherhof,,,,way
Schüttingstraße,,,,way
Schützenhofstraße,,,,way
Schützenweg,,,,way
Schwalbenstraße,,,,way
Schwanenweg,,,,way
"Schwarzer Weg",,,,way
"Schweriner Weg",,,,way
Schwertlilienweg,,,,way
Sedanstraße,,,,way
Seerosenweg,,,,way
Seggenweg,,,,way
Semperstraße,,,,way
Shakespearestraße,,,,way
"Sieben Berge",,,,way
"Sieben Bösen",,,,way
"Siebenbürger Straße",,,,way
Siebensternweg,,,,way
Siegfriedstraße,,,,way
Sielweg,,,,way
Skagerrakstraße,,,,way
Sodenstich,,,,way
Sommerweg,,,,way
Sonnenkampstraße,,,,way
Sonnenstraße,,,,way
Sonnentauweg,,,,way
Sophie-Schütte-Straße,,,,way
Sophienstraße,,,,way
Spätenweg,,,,way
Spechtweg,,,,way
Spencerstraße,,,,way
Sperberweg,,,,way
Sperlingsweg,,,,way
Sperlingweg,,,,way
Spezaweg,,,,way
Spittweg,,,,way
"Sportpark Eversten",,,,way
Sportweg,,,,way
Spreenweg,,,,way
Sprungweg,,,,way
Staakenweg,,,,way
Stadtfeld,,,,way
Ständelweg,,,,way
Starenweg,,,,way
"Stargarder Weg",,,,way
Starklofstraße,,,,way
Stationsweg,,,,way
Stau,,,,relation+way
Staugraben,,,,way
Staulinie,,,,way
Staupassage,,,,way
Staustraße,,,,way
"Stedinger Straße",,,,way
Steenkenweg,,,,way
Steinkamp,,,,way
Steinkauzweg,,,,way
Steinweg,,,,way
Stephanusstraße,,,,way
Sternstraße,,,,way
"Stettiner Straße",,,,way
Steubenstraße,,,,way
Stieglitzweg,,,,way
Stiekelkamp,,,,way
Stiftsweg,,,,way
"Stiller Weg",,,,way
"Stockholmer Straße",,,,way
Storchweg,,,,way
Störtebekerstraße,,,,way
Strackerjanstraße,,,,way
"Stralsunder Straße",,,,way
"Straßburger Straße",,,,way
Streekenweg,,,,way
Stresemannstraße,,,,way
"Struthoffs Kamp",,,,way
Stubbenweg,,,,way
"Stumpfer Weg",,,,way
Süderdiek,,,,way
Sudetenstraße,,,,way
Südring,,,,way
Südweg,,,,way
Suhrkamp,,,,way
Sündermannsweg,,,,way
"Sylter Ring",,,,way
"Taastruper Straße",,,,way
Tami-Oelfken-Straße,,,,way
Tangastraße,,,,way
Tannenbergstraße,,,,way
Tannenkampstraße,,,,way
Tannenstraße,,,,way
Taubenstraße,,,,way
Tautstraße,,,,way
Teebkengang,,,,way
Tegelkamp,,,,way
Teichhuhnweg,,,,way
Teichstraße,,,,way
Thalia-Passage,,,,way
Theaterwall,,,,way
Theodor-Dirks-Weg,,,,way
Theodor-Fontane-Straße,,,,way
Theodor-Francksen-Straße,,,,way
Theodor-Heuss-Straße,,,,way
Theodor-Körner-Weg,,,,way
Theodor-Storm-Straße,,,,way
Theodor-Wabnitz-Straße,,,,way
Thomas-Dehler-Straße,,,,way
Thomas-Mann-Straße,,,,way
Thomasburg,,,,way
Thormöhlen,,,,way
"Thorner Straße",,,,way
Thorwaldsenstraße,,,,way
Thymianweg,,,,way
Tiemannhof,,,,way
"Tilsiter Straße",,,,way
Tirpitzstraße,,,,way
Tischbeinstraße,,,,way
Tondernstraße,,,,way
Tonweg,,,,way
Torfweg,,,,way
"Torsholter Straße",,,,way
Trakehnenstraße,,,,way
Triftweg,,,,way
Trommelweg,,,,way
"Troppauer Straße",,,,way
"Tübinger Straße",,,,way
Tuchtweg,,,,way
Tulpenweg,,,,way
"Tweelbäker Tredde",,,,way
"Tweelbäker Weg",,,,way
Twiskenweg,,,,way
"Über der Heide",,,,way
Uferstraße,,,,way
Uhlenweg,,,,way
Uhlhornsweg,,,,way
Ulmenstraße,,,,way
Ulrich-von-Hutten-Straße,,,,way
"Unter den Eichen",,,,way
"Unter den Linden",,,,way
"Unterm Berg",,,,way
Unterstraße,,,,way
"Up de Wührden",,,,way
"Usedomer Ring",,,,way
Vahlenhorst,,,,way
"Vareler Straße",,,,way
Veilchenweg,,,,way
Verbindungsweg,,,,way
Verdistraße,,,,way
Vereinigungsstraße,,,,way
Vereinsheimweg,,,,way
Viertelplatz,,,,way
Viktoriastraße,,,,way
Vogelstange,,,,way
Vogelstation,,,,way
Von-Alten-Weg,,,,way
Von-Berger-Straße,,,,way
Von-Bodelschwingh-Straße,,,,way
Von-Borries-Straße,,,,way
Von-Finckh-Straße,,,,way
Von-Halem-Straße,,,,way
Von-Helmholtz-Straße,,,,way
Von-Ketteler-Straße,,,,way
Von-Kobbe-Straße,,,,way
Von-Lützow-Straße,,,,way
Von-Müller-Straße,,,,way
Von-Schrenck-Straße,,,,way
Von-Thünen-Straße,,,,way
Von-Tresckow-Weg,,,,way
Vördemöhlen,,,,way
Voßstraße,,,,way
Wabenweg,,,,way
Wacholderweg,,,,way
Wachtelweg,,,,way
Waffenplatz,,,,relation+way
Wahnbäkenweg,,,,way
Waldkauzweg,,,,way
Waldmannsweg,,,,way
Waldmeisterweg,,,,way
Wallgraben,,,,way
Wallheckenring,,,,way
Wallstraße,,,,way
Walter-Meckauer-Straße,,,,way
Walther-Rathenau-Straße,,,,way
"Wangerooger Straße",,,,way
Wardenburgstraße,,,,way
Warnsweg,,,,way
"Waterender Weg",,,,way
Watertucht,,,,way
"Wechloyer Weg",,,,way
Weddigenstraße,,,,way
"Weg zur schwimmenden Insel",,,,way
Wehdestraße,,,,way
Weidamm,,,,way
Weidenstraße,,,,way
Weidweg,,,,way
"Weimarer Straße",,,,way
Weiselweg,,,,way
Weißdornweg,,,,way
"Weiße Rose",,,,way
Weißenmoorstraße,,,,way
Weitzstraße,,,,way
Wellenweg,,,,way
Werbachstraße,,,,way
Werftweg,,,,way
Werrastraße,,,,way
Weserstraße,,,,way
Weskampstraße,,,,way
Westerdiek,,,,way
"Westerender Weg",,,,way
Westeresch,,,,way
Westerholtsweg,,,,way
"Westersteder Straße",,,,way
Westerstraße,,,,way
Westfalendamm,,,,way
Wichelnstraße,,,,way
Wichernstraße,,,,way
Wichmannsweg,,,,way
Wickenweg,,,,way
Widderweg,,,,way
Widukindstraße,,,,way
"Wiefelsteder Straße",,,,way
Wiemkenhofsweg,,,,way
"Wiener Straße",,,,way
Wienstraße,,,,way
Wieselweg,,,,way
Wiesengrund,,,,way
Wiesenstraße,,,,way
Wildenlohsdamm,,,,way
Wilhelm-Busch-Straße,,,,way
Wilhelm-Degode-Weg,,,,way
Wilhelm-Meyer-Weg,,,,way
Wilhelm-Morgner-Straße,,,,way
Wilhelm-Raabe-Straße,,,,relation+way
Wilhelm-Weber-Straße,,,,way
Wilhelm-Wilke-Straße,,,,way
"Wilhelmshavener Heerstraße",,,,way
Wilhelmstraße,,,,way
Wilkenweg,,,,way
Willa-Thorade-Straße,,,,way
Willehadweg,,,,way
Willersstraße,,,,way
Windmühlenweg,,,,way
Windröschenweg,,,,way
Windthorststraße,,,,way
Winkelmannstraße,,,,way
Winkelweg,,,,way
Wischweg,,,,way
"Wismarer Weg",,,,way
Wittengang,,,,way
Wittingsbrok,,,,way
Wittsfeld,,,,way
Wolfgang-Heimbach-Straße,,,,way
"Wolfsbrücker Weg",,,,way
Wulfswall,,,,way
Wullgrasweg,,,,way
Wunderburgpark,,,,way
Wunderburgstraße,,,,way
"Würzburger Straße",,,,way
Yorckstraße,,,,way
Zanderweg,,,,way
Zaunkönigstraße,,,,way
Zedernweg,,,,way
Zeisigweg,,,,way
Zeppelinstraße,,,,way
Zeughausstraße,,,,way
Ziegelhofstraße,,,,way
Ziegelweg,,,,way
Zietenstraße,,,,way
Zillestraße,,,,way
Zinzendorfstraße,,,,way
Zobelweg,,,,way
"Zum Offizierskasino",,,,way
"Züricher Straße",,,,way
Zuschlag,,,,way
Zweigstraße,,,,way
Zypressenweg,,,,way
